,Position,value
COG0015,98,-237.1767174154976
COG0015,99,-214.32093806160276
COG0015,100,-165.31822492047934
COG0015,101,-184.742325219348
COG0015,102,-164.6088594689196
COG0015,103,-186.27457816660672
COG0015,104,-235.87223631626006
COG0015,105,-241.184316810905
COG0015,106,-235.38314395301757
COG0015,107,-181.73228664732164
COG0015,108,-203.35528666021037
COG0015,109,-206.90025154487546
COG0015,110,-198.2061031281362
COG0015,111,-243.1368722338649
COG0015,112,-194.2326790243942
COG0015,113,-214.69036284346896
COG0015,114,-200.5719835444287
COG0015,115,-209.73584249436362
COG0015,116,-180.33324360994004
COG0015,117,-217.81874501873506
COG0015,118,-226.57763626495512
COG0015,119,-201.98900237494604
COG0015,120,-220.15970500188246
COG0015,121,-175.6200329016075
COG0015,122,-218.50161592281256
COG0015,123,-185.62724746176195
COG0015,124,-216.79156868616326
COG0015,125,-215.59828341322316
COG0015,126,-215.95717334152937
COG0015,127,-181.15128173085964
COG0015,128,-245.63729207456322
COG0015,129,-181.9122245700678
COG0015,130,-197.44337866012393
COG0015,131,-193.94849292476897
COG0015,132,-242.45204552435678
COG0015,133,-213.84361316068305
COG0015,134,-190.5588863045051
COG0015,135,-214.91837479788194
COG0015,136,-217.03184496873405
COG0015,137,-215.0514946359183
COG0015,138,-203.50996554627193
COG0015,139,-248.06443496772891
COG0015,140,-213.59737416512974
COG0015,141,-222.50884100205246
COG0015,142,-229.97066827807288
COG0015,143,-221.60052087389943
COG0015,144,-211.62233143746175
COG0015,145,-212.53445893733328
COG0015,146,-255.42093436788053
COG0015,147,-201.89132413645268
COG0015,148,-192.85115138682056
COG0015,149,-177.02445897537848
COG0015,150,-214.0983488770301
COG0015,151,-236.58643107327214
COG0015,152,-204.79232050300186
COG0015,153,-187.59480126202664
COG0015,154,-258.00331893298306
COG0015,155,-235.2160119261382
COG0015,156,-205.73067231911386
COG0015,157,-208.67696487516764
COG0015,158,-228.49994045104938
COG0015,159,-231.05627184826216
COG0015,160,-173.38192755836644
COG0015,161,-241.26543404930737
COG0015,162,-202.5612019649118
COG0015,163,-149.41806428923564
COG0015,164,-194.05180309092532
COG0015,165,-241.4919780357091
COG0015,166,-184.72033041049508
COG0015,167,-226.06317621237554
COG0015,168,-197.1948700521932
COG0015,169,-224.306328353288
COG0015,170,-209.5719998220262
COG0015,171,-199.1496328153023
COG0015,172,-204.52187317593985
COG0015,173,-203.38858042844106
COG0015,174,-180.31864444622897
COG0015,175,-215.01318976646564
COG0015,176,-219.60864103194479
COG0015,177,-229.8735355413092
COG0015,178,-223.23762770014446
COG0015,179,-198.9709198994434
COG0015,180,-246.63934603435212
COG0015,181,-228.8333238025681
COG0015,182,-139.29821857573836
COG0015,183,-235.3841627386688
COG0015,184,-219.5144161323476
COG0015,185,-217.72833730761704
COG0015,186,-256.862094885631
COG0015,187,-242.25265822617945
COG0015,188,-212.1534613221762
COG0015,189,-249.13804808821612
COG0015,190,-141.63673336352235
COG0015,191,-258.9386770650299
COG0015,192,-218.82047579137645
COG0015,193,-244.8538756772329
COG0015,194,-242.16854811468158
COG0015,195,-206.39784357502458
COG0015,196,-202.39193667256848
COG0015,197,-226.71667722473535
COG0015,198,-236.63743522542643
COG0015,199,-207.92425393403528
COG0015,200,-193.49357277021136
COG0015,201,-243.0441301616811
COG0015,202,-224.77501607859983
COG0015,203,-195.1863483859363
COG0015,204,-189.01960291941623
COG0015,205,-237.733560329797
COG0015,206,-194.62567828727015
COG0015,207,-181.85806793697316
COG0015,208,-208.9242714206929
COG0015,209,50278.71080287365
COG0015,210,-226.06114468929832
COG0015,211,-171.34499616017172
COG0015,212,-223.28789952488808
COG0015,213,-197.354371290372
COG0015,214,-240.0332978120972
COG0015,215,-219.95686041624845
COG0015,216,-251.12012191282292
COG0015,217,27535.214207743044
COG0015,218,-183.04828599340829
COG0015,219,-229.06909147948602
COG0015,220,-211.19200433884725
COG0015,221,-251.9485770962632
COG0015,222,-198.91100591798374
COG0015,223,-238.86771042632006
COG0015,224,-225.7634329578084
COG0015,225,-234.51439280746683
COG0015,226,-191.08471223872823
COG0015,227,-195.49124866419675
COG0015,228,-264.65320745738626
COG0015,229,-154.5460326514567
COG0015,230,-182.12088170997367
COG0015,231,-243.92383880652085
COG0015,232,-147.1841238035919
COG0015,233,-226.61971533025178
COG0015,234,-209.22280458889497
COG0015,235,-222.23759201575012
COG0015,236,44917.81972403244
COG0015,237,-253.4703770341198
COG0015,238,-226.9237209441718
COG0015,239,51025.37814907955
COG0015,240,-239.00847841934
COG0015,241,-237.54092113671038
COG0015,242,-216.25916354315984
COG0015,243,-199.6925030270403
COG0015,244,-182.9956155349903
COG0015,245,-267.3676531696102
COG0015,246,-222.4825398735552
COG0015,247,-192.47910064358484
COG0015,248,-207.81422846752616
COG0015,249,-241.9648788623727
COG0015,250,-220.67710753326003
COG0015,251,50582.716612722965
COG0015,252,-211.12999453202826
COG0015,253,-149.07064208021438
COG0015,254,-238.7190675606265
COG0015,255,-175.3434752698222
COG0015,256,-223.25171222295023
COG0015,257,-253.99582695184142
COG0015,258,-253.71681299013255
COG0015,259,-191.57011769702672
COG0015,260,-236.72727656432608
COG0015,261,-201.782811384835
COG0015,262,-247.36439572547562
COG0015,263,4601.683919106968
COG0015,264,-206.24386357948663
COG0015,265,-245.69666965367412
COG0015,266,-214.70086965540895
COG0015,267,-190.00709307001966
COG0015,268,-233.73476952445935
COG0015,269,-244.66884283055106
COG0015,270,-269.14658786281916
COG0015,271,-241.1895621490943
COG0015,272,-239.51476780612109
COG0015,273,-236.01427887727937
COG0015,274,-204.96431940446018
COG0015,275,-243.8529869841861
COG0015,276,-225.18143654245216
COG0015,277,-193.91811129591122
COG0015,278,-215.61046814486303
COG0015,279,-207.39225961131967
COG0015,280,-171.56315545866255
COG0015,281,-231.52016010654495
COG0015,282,-243.89205835472376
COG0015,283,-224.19447747824609
COG0015,284,-231.35141277842547
COG0015,285,-202.108870449032
COG0015,286,-205.4167894151792
COG0015,287,-190.22247448592634
COG0015,288,-220.91432914352947
COG0015,289,-224.9815088627838
COG0015,290,-200.4827039423824
COG0015,291,-176.5441374821679
COG0015,292,-235.29746564932242
COG0015,293,-173.76308848691747
COG0015,294,-184.94412650389904
COG0015,295,-165.70600802173726
COG0015,296,-218.94164702506134
COG0015,297,-234.14014636463287
COG0015,298,-187.72392235848463
COG0015,299,-249.00840957742616
COG0015,300,-269.8895938700309
COG0015,301,-240.87662483125416
COG0015,302,-228.54140231222368
COG0015,303,-212.77181869234482
COG0015,304,-224.23765111910177
COG0015,305,-236.51035804622165
COG0015,306,-158.65777643002457
COG0015,307,-208.68532313384776
COG0015,308,-224.5197087453181
COG0015,309,-257.151365183822
COG0015,310,-168.36005561977413
COG0015,311,-233.38909525474378
COG0015,312,-214.0882128003085
COG0015,313,-214.10235961278465
COG0015,314,-243.74314094342867
COG0015,315,-256.00301950971163
COG0015,316,-215.45705920860257
COG0015,317,5416.077558714572
COG0015,318,-139.4780416110467
COG0015,319,-183.05895528396172
COG0015,320,-215.03269725781445
COG0015,321,-244.92038394824488
COG0015,322,-159.9290543571442
COG0015,323,-207.02281841322565
COG0015,324,-234.63082568331617
COG0015,325,-242.54996572526454
COG0015,326,-222.90732070013473
COG0015,327,-244.00245761130202
COG0015,328,-223.80734518402414
COG0015,329,-216.733699792283
COG0015,330,-257.0073617164802
COG0015,331,-224.05999134314447
COG0015,332,-256.1363096165924
COG0015,333,-230.00306577886352
COG0015,334,-212.33240539983967
COG0015,335,-206.62342109133454
COG0015,336,-235.39900639697532
COG0015,337,-180.40777418764992
COG0015,338,-236.03015537516137
COG0015,339,-206.95861778862218
COG0015,340,-260.0794211591112
COG0015,341,-206.23866495799098
COG0015,342,-230.74122233277592
COG0015,343,-221.07133621051082
COG0015,344,-220.91352184124958
COG0015,345,-276.5939436931607
COG0015,346,-205.53848553821445
COG0015,347,-198.03325637576654
COG0015,348,-187.7514499702404
COG0015,349,-258.1999109774632
COG0015,350,-265.25017404339235
COG0015,351,-219.40510737021964
COG0015,352,-213.89999778071478
COG0015,353,-224.59103216032054
COG0015,354,-251.3869896272006
COG0015,355,-188.43166004637794
COG0015,356,-221.84241549075773
COG0015,357,-227.71251462050895
COG0015,358,-208.52030687375373
COG0015,359,-273.2028154928082
COG0015,360,-176.01070481722422
COG0015,361,-237.82890093353046
COG0015,362,-213.90141274184316
COG0015,363,-205.32464466248916
COG0015,364,-226.89649227566326
COG0015,365,-202.80448969761642
COG0015,366,-199.27309906515586
COG0015,367,-251.6392998015806
COG0015,368,-240.44905172109964
COG0015,369,-223.36464792565482
COG0015,370,-226.64710185331148
COG0015,371,-243.74067763000176
COG0015,372,-229.90105758003563
COG0015,373,-260.2389700605672
COG0015,374,-223.71985228739447
COG0015,375,-180.06971952879235
COG0015,376,-173.90487881707372
COG0015,377,-200.00107222548775
COG0015,378,-226.47982025589852
COG0015,379,-201.830274313578
COG0015,380,-214.19333452621902
COG0015,381,-217.45791045699877
COG0015,382,-197.26533287177745
COG0015,383,-203.44296248952946
COG0015,384,-242.68207051640354
COG0015,385,-208.05987460376775
COG0015,386,-232.66472559381248
COG0015,387,-192.33238000270808
COG0015,388,-227.80876926412986
COG0015,389,-220.99192327765638
COG0015,390,-255.48546155054999
COG0015,391,-183.95308452050074
COG0015,392,-193.52503652547853
COG0015,393,-223.0911076027803
COG0015,394,-227.90312833509938
COG0015,395,-264.47088162320745
COG0015,396,-190.57649649265693
COG0015,397,-198.5149390654143
COG0015,398,-208.78913262782123
COG0015,399,-232.9708138419677
COG0015,400,-224.04161092906668
COG0015,401,-194.45568979671134
COG0015,402,-157.04704761518906
COG0015,403,-219.08764442637641
COG0015,404,-215.72990250150258
COG0015,405,-210.945252488213
COG0015,406,-186.84238646564881
COG0015,407,-202.5265191514086
COG0015,408,-250.99767296909135
COG0015,409,-239.76374820443073
COG0015,410,-234.2517306516769
COG0015,411,-231.9286016605414
COG0015,412,-218.54755612554789
COG0015,413,-238.28467137199743
COG0015,414,-198.66769649335936
COG0015,415,-246.69153400520486
COG0015,416,-231.3716088814225
COG0015,417,-215.08026096196784
COG0015,418,-224.8813856237016
COG0015,419,-208.94594066774903
COG0015,420,-232.98276669761765
COG0015,421,-193.09257553104908
COG0015,422,-205.2391789777489
COG0015,423,-214.57441914951085
COG0015,424,-210.63759221018893
COG0015,425,-243.88972383168982
COG0015,426,-201.30321254407
COG0015,427,-198.2322436616953
COG0015,428,-262.50925562242514
COG0015,429,-243.03707716927698
COG0015,430,-237.2002348790195
COG0015,431,-248.3753626482959
COG0015,432,-222.26403683022136
COG0015,433,-231.901605813885
COG0015,434,50063.68324515968
COG0015,435,-157.8831766248926
COG0015,436,-230.3211834261981
COG0015,437,-240.61839654104318
COG0015,438,-188.2892425943876
COG0015,439,-247.4502857717914
COG0015,440,-228.81977640953585
COG0015,441,-227.73977679153757
COG0015,442,-178.03328372056046
COG0015,443,-234.6175677788226
COG0015,444,-218.1842580879685
COG0015,445,-223.53819241454516
COG0015,446,-187.76076034249547
COG0015,447,-238.6122321635538
COG0015,448,-221.8192023511723
COG0015,449,4972.813304549515
COG0015,450,-170.65611379805387
COG0015,451,-202.6941310020428
COG0015,452,-186.17498668357496
COG0015,453,-246.57113866540374
COG0015,454,-237.1422517314736
COG0015,455,-164.49779541831595
COG0015,456,-252.1355303727658
COG0015,457,-204.41963258531405
COG0015,458,-207.50473511905966
COG0015,459,-206.3254930322272
COG0015,460,-252.01726297313553
COG0015,461,-206.50300067300157
COG0015,462,-108.65723079245095
COG0015,463,-233.81800666855145
COG0015,464,-205.0208159467993
COG0015,465,-190.965165652368
COG0015,466,-201.0620446327781
COG0015,467,-210.15671344732777
COG0015,468,-224.6952043139337
COG0015,469,-221.3947245273249
COG0015,470,-234.79981334675426
COG0015,471,-246.6488778364162
COG0015,472,-233.7675191447936
COG0015,473,-217.8631762847516
COG0015,474,-214.68294378321616
COG0015,475,-217.1169133641323
COG0015,476,-215.14045449724847
COG0015,477,-260.13977058158247
COG0015,478,-214.44635079267198
COG0015,479,-220.17952103422192
COG0015,480,-179.9343956729523
COG0015,481,-160.14415342632446
COG0015,482,18952.266647253506
COG0015,483,-227.76111146895346
COG0015,484,-239.34938933403714
COG0015,485,-213.66888097109484
COG0015,486,-240.54724372631824
COG0015,487,-195.01059136976664
COG0015,488,-199.85688567642057
COG0015,489,-213.69573337523912
COG0015,490,-203.0355142498389
COG0015,491,-225.04816697728506
COG0015,492,-223.91547946309265
COG0015,493,-254.14566811195073
COG0015,494,-234.19650092098993
COG0015,495,-225.6714279525669
COG0015,496,-188.60844216290627
COG0015,497,-240.24038436668252
COG0015,498,-242.55264184913028
COG0015,499,-219.96013605332757
COG0015,500,-234.1098812322432
COG0015,501,-225.30710181806728
COG0015,502,-196.6382517755867
COG0015,503,16347.626503324918
COG0015,504,-234.74011237710533
COG0015,505,-258.3028376518432
COG0015,506,-217.00028480158767
COG0015,507,-184.99058402588128
COG0015,508,-205.33289999250394
COG0015,509,-227.8971205727645
COG0015,510,-226.94944765669686
COG0015,511,-205.25054493509617
COG0015,512,-234.903869096726
COG0015,513,-226.15263729970843
COG0015,514,-220.81806395690774
COG0015,515,-232.8693189674657
COG0015,516,-203.8917343864689
COG0015,517,-198.31720064988792
COG0015,518,-241.78303755994477
COG0015,519,-223.50917081416833
COG0015,520,-234.1605161855664
COG0015,521,-225.19797747822997
COG0015,522,-256.6561757839861
COG0015,523,-242.9924398751296
COG0015,524,-231.64886992535662
COG0015,525,-184.65587085394668
COG0015,526,-206.1683205851756
COG0015,527,8489.172597739278
COG0015,528,-238.47979913969368
COG0015,529,-217.73569955760104
COG0015,530,-253.2230822021462
COG0015,531,-210.91168725208138
COG0015,532,-239.03678604134257
COG0015,533,-230.90872318253207
COG0015,534,-238.4841705996148
COG0015,535,-259.77437476546856
COG0015,536,-224.81322740833753
COG0015,537,-237.145082852805
COG0015,538,-234.11129259732115
COG0015,539,-240.72475493517732
COG0015,540,-253.72997054893392
COG0015,541,-222.89690494493732
COG0015,542,-250.35288351081851
COG0015,543,-215.76224385833893
COG0015,544,-227.07678213017687
COG0015,545,-211.48813220786428
COG0015,546,-248.22859500037418
COG0015,547,-211.54455147086355
COG0015,548,-216.80995330908706
COG0015,549,-202.8191726833752
COG0015,550,-207.63221295196252
COG0015,551,-184.0565333890903
COG0015,552,-241.1776119189094
COG0015,553,-236.8895610314853
COG0015,554,6682.138345162446
COG0015,555,-201.61579961867346
COG0015,556,-171.7196637687057
COG0015,557,5292.64196508528
COG0015,558,-202.06189379986836
COG0015,559,-197.6786628948023
COG0015,560,-217.9821526559557
COG0015,561,-232.9474525262723
COG0015,562,-228.9432062272915
COG0015,563,-238.7209856502186
COG0015,564,-198.85929249151684
COG0015,565,-232.88681079803098
COG0015,566,-228.06269035365278
COG0015,567,-222.7461446076852
COG0015,568,-260.77380927282024
COG0015,569,-187.5004298916358
COG0015,570,-212.38447125596554
COG0015,571,-186.46779372454432
COG0015,572,-208.51569090576868
COG0015,573,-197.9695607488685
COG0015,574,-247.26242311095677
COG0015,575,-249.1832782617695
COG0015,576,-216.15098733094987
COG0015,577,-217.76431902447598
COG0015,578,-250.4428341903377
COG0015,579,-211.0713635499386
COG0015,580,-218.48938183449513
COG0015,581,-219.95965151785856
COG0015,582,-207.26071080909685
COG0015,583,-181.69560603667094
COG0015,584,-212.9186109449014
COG0015,585,-254.36510832049134
COG0015,586,-264.6298956007489
COG0015,587,-224.092141923825
COG0015,588,-206.31990661277496
COG0015,589,-223.48619544904557
COG0015,590,-225.52991890830174
COG0015,591,-240.90177173788265
COG0015,592,-220.08245327157124
COG0015,593,-179.53867129465675
COG0015,594,-227.74295381080424
COG0015,595,-220.4896134593322
COG0015,596,43439.77986185017
COG0015,597,-254.3393322081261
COG0015,598,-229.50956843146014
COG0015,599,-215.63381069544118
COG0015,600,-254.92382318130512
COG0015,601,-188.23382899760418
COG0015,602,-241.50084750281542
COG0015,603,-187.61011135610704
COG0015,604,-220.0162994303173
COG0015,605,-226.1139179532587
COG0015,606,-226.5133196313135
COG0015,607,-227.77225509912614
COG0015,608,-239.04469128699668
COG0015,609,-229.79546019199574
COG0015,610,-194.97759325731147
COG0015,611,-247.7526961214627
COG0015,612,-233.54130220317734
COG0015,613,-208.32962330827195
COG0015,614,-249.5015450642162
COG0015,615,-256.7631209025087
COG0015,616,-200.5207636881055
COG0015,617,-237.14163165698528
COG0015,618,-200.09159677897128
COG0015,619,-197.5075451698441
COG0015,620,-215.82620785993538
COG0015,621,-187.2228797244809
COG0015,622,-237.9066816630974
COG0015,623,7648.5954889078075
COG0015,624,-209.169016054429
COG0015,625,-213.4966330988509
COG0015,626,7672.405893231544
COG0015,627,-210.30960501779907
COG0015,628,-229.98800314824837
COG0015,629,5077.22336482897
COG0015,630,-246.60763711731965
COG0015,631,-202.96810194628245
COG0015,632,-236.81552733691206
COG0015,633,-243.90800082273233
COG0015,634,-172.74463187608455
COG0015,635,-198.6157297942824
COG0015,636,-205.97192744794916
COG0015,637,-233.95397495978477
COG0015,638,-235.03037151479612
COG0015,639,-173.14246900455908
COG0015,640,-225.58406093669885
COG0015,641,16266.945892466167
COG0015,642,-221.4472279503674
COG0015,643,-200.78582912544323
COG0015,644,-240.92814975638998
COG0015,645,-240.54124072151603
COG0015,646,-216.6453376857546
COG0015,647,-249.25870808215268
COG0015,648,-206.9794526285167
COG0015,649,-209.22031018845792
COG0015,650,19124.274305941326
COG0015,651,-198.68182448945663
COG0015,652,-207.64142946293657
COG0015,653,-220.19755223161746
COG0015,654,-229.61751597108776
COG0015,655,-217.11399942812272
COG0015,656,-243.44913121175824
COG0015,657,-231.2131289131312
COG0015,658,-228.54705573888396
COG0015,659,-182.99699093601043
COG0015,660,-217.08302327031845
COG0015,661,-217.139715062871
COG0015,662,-253.51054810764197
COG0015,663,-268.8581503207016
COG0015,664,-229.65748650681599
COG0015,665,-211.00571005280517
COG0015,666,-238.23453944857658
COG0015,667,-225.4841986951741
COG0015,668,-209.29010313554215
COG0015,669,-221.14408855134081
COG0015,670,-231.9419272092847
COG0015,671,-197.86419571825945
COG0015,672,-226.12274539840905
COG0015,673,-251.0813923966781
COG0015,674,-219.7131722043663
COG0015,675,-217.53657716123257
COG0015,676,-241.92818119161757
COG0015,677,-218.90040934093508
COG0015,678,-196.84538174443617
COG0015,679,-233.4947709253421
COG0015,680,-176.2147040160428
COG0015,681,-230.15650145856216
COG0015,682,-218.5386347627698
COG0015,683,-228.09460987213538
COG0015,684,-189.51268148335396
COG0015,685,-137.88692162671998
COG0015,686,-170.78160195241776
COG0015,687,-225.4968412843216
COG0015,688,-257.9520026207771
COG0015,689,-224.48458923368128
COG0015,690,-227.55804593426308
COG0015,691,-194.8519937941595
COG0015,692,-227.03213117180678
COG0015,693,-227.95433990995366
COG0015,694,-231.02769452026598
COG0015,695,-223.21357586708416
COG0015,696,-185.34601064632022
COG0015,697,-196.35394398919186
COG0015,698,-265.8511584333013
COG0015,699,-225.39650625829154
COG0015,700,-229.14228277129348
COG0015,701,-241.940691736889
COG0015,702,-225.31676712065246
COG0015,703,-191.52830484752553
COG0015,704,-214.68505815820163
COG0015,705,-231.93680685696972
COG0015,706,-228.9202990453341
COG0015,707,-158.37547665771467
COG0015,708,-196.09885406616263
COG0015,709,-197.41849280698204
COG0015,710,-230.15106314956972
COG0015,711,-217.49824207623476
COG0015,712,-212.6195008041767
COG0015,713,-182.56178311975748
COG0015,714,-198.93224374155034
COG0015,715,-193.67479532539608
COG0015,716,-215.44690868802184
COG0015,717,-257.14158180431326
COG0015,718,-210.42823246020896
COG0015,719,5165.323762971718
COG0015,720,-203.373295647051
COG0015,721,-206.89782111465115
COG0015,722,-191.95293639272677
COG0015,723,-196.54486293252648
COG0015,724,-228.35358500969255
COG0015,725,-227.49499348526047
COG0015,726,-227.9280838184594
COG0015,727,-248.02020751810358
COG0015,728,-187.72594147894893
COG0015,729,-218.86417023224305
COG0015,730,-243.6717614412711
COG0015,731,-237.588053513555
COG0015,732,-243.60365133603216
COG0015,733,-246.4214400891409
COG0015,734,4970.460234842041
COG0015,735,-212.0780416926316
COG0015,736,-217.93432706762792
COG0015,737,-248.54841376374895
COG0015,738,-252.20669397980083
COG0015,739,-205.3602013125717
COG0015,740,-246.89285898336504
COG0015,741,-229.0260367374491
COG0015,742,-245.28021535119387
COG0015,743,4907.360168415897
COG0015,744,-221.28778305530136
COG0015,745,-211.04642510264773
COG0015,746,-227.57435707586023
COG0015,747,-232.10150261682702
COG0015,748,-231.5617388344316
COG0015,749,-215.02875239396565
COG0015,750,-223.61375081506628
COG0015,751,-227.9467390405871
COG0015,752,-215.78098115552643
COG0015,753,-216.46735416933984
COG0015,754,-190.23287233203223
COG0015,755,-241.45843503143726
COG0015,756,-221.32458159644682
COG0015,757,-189.74318181159333
COG0015,758,-230.04861868570765
COG0015,759,-164.6715669741285
COG0015,760,-183.41546119129453
COG0015,761,-194.61104447715866
COG0015,762,-240.39498102040227
COG0015,763,-182.33838053068166
COG0015,764,-256.78485918509966
COG0015,765,-234.14960277722514
COG0015,766,-195.596526014524
COG0015,767,-215.173282257717
COG0015,768,18934.042046345057
COG0015,769,-158.53112293885363
COG0015,770,-217.37241323607043
COG0015,771,-184.01417456956062
COG0015,772,-236.48389112527957
COG0015,773,-233.50190005881882
COG0015,774,-235.45214047968136
COG0015,775,-189.64080990803984
COG0015,776,-180.49990025454895
COG0015,777,-213.54999799907455
COG0015,778,-239.6551245247109
COG0015,779,-219.31014448080816
COG0015,780,-223.24938027023734
COG0015,781,-209.52636382583762
COG0015,782,-134.30702812268646
COG0015,783,-223.706442512006
COG0015,784,-230.646263265338
COG0015,785,-228.12143634022993
COG0015,786,-185.30555934643496
COG0015,787,-239.71779485942523
COG0015,788,-229.6189987538197
COG0015,789,-216.05372437365986
COG0015,790,-208.7233988180135
COG0015,791,-207.57506000353067
COG0015,792,-200.1969420624464
COG0015,793,-217.83362050154426
COG0015,794,-200.09605484414533
COG0015,795,-147.34530273549535
COG0015,796,-206.33094467359797
COG0015,797,58038.17649826448
COG0015,798,-185.7477370532605
COG0015,799,-182.4232924782658
COG0015,800,-223.88677299140375
COG0015,801,-217.54709849782557
COG0015,802,-209.65079628021454
COG0015,803,-250.2978671015652
COG0015,804,-189.31241803067905
COG0015,805,-202.1939818525084
COG0015,806,-224.9178216794037
COG0015,807,-219.16033998405737
COG0015,808,-201.0987651577542
COG0015,809,-210.39762028148687
COG0015,810,-192.36618685892063
COG0015,811,-218.66303643214553
COG0015,812,-196.06868840931543
COG0015,813,-221.42098345789884
COG0015,814,-219.56546337384577
COG0015,815,-189.13450616628177
COG0015,816,-226.78036768322352
COG0015,817,-226.38618159630994
COG0015,818,-233.72867700427582
COG0015,819,-228.61595501279214
COG0015,820,-222.00447434845637
COG0015,821,-210.58191002572812
COG0015,822,-195.68665987348413
COG0015,823,-221.33162929906507
COG0015,824,-225.69857778609378
COG0015,825,-236.25748887091754
COG0015,826,-226.2885139449338
COG0015,827,-202.62068206117192
COG0015,828,-196.0856147069826
COG0015,829,-171.21876129600616
COG0015,830,-237.01688073360083
COG0015,831,-206.14105251408307
COG0015,832,-195.2923150079257
COG0015,833,-217.8944652766097
COG0015,834,-200.58133256230553
COG0015,835,-195.61038885718165
COG0015,836,-212.07285269643273
COG0015,837,-231.68675864441946
COG0015,838,-222.37423928564704
COG0015,839,-236.62042509763563
COG0015,840,-242.37581498896452
COG0015,841,-159.39336985811565
COG0015,842,-185.18887177026295
COG0015,843,-223.3321062913351
COG0015,844,-215.2765466657563
COG0015,845,-223.19342572746416
COG0015,846,-244.85429819181502
COG0015,847,-214.1377293334533
COG0015,848,-237.411618926737
COG0015,849,-207.87633109649244
COG0015,850,-193.95224701344034
COG0015,851,-223.13578559016855
COG0015,852,-247.46668320274034
COG0015,853,-219.61303777396677
COG0015,854,-188.10022069682202
COG0015,855,-237.27994051180815
COG0015,856,-183.71465835564868
COG0015,857,-248.55284259626785
COG0015,858,-216.82331398196675
COG0015,859,-184.1188740496924
COG0015,860,-171.9671894573953
COG0015,861,-257.1731422326101
COG0015,862,-163.4499245530858
COG0015,863,-249.49020958655785
COG0015,864,-233.05405159892837
COG0015,865,-242.9445484709545
COG0015,866,-190.48057258236088
COG0015,867,-253.59048328841118
COG0015,868,-213.6873016891359
COG0015,869,-197.28469809754483
COG0015,870,-207.36991184355475
COG0015,871,-219.86649513821578
COG0015,872,-201.29149372717984
COG0015,873,-258.24436526853106
COG0015,874,-212.79476894146114
COG0015,875,-242.2931678163169
COG0015,876,-237.99134557803802
